Number xind yind east north data err wgt Elos Nlos Ulos
  46  524  699 129.036847544735 41.314052177390 -1.792134 0.33389     44 -0.60685 0.10796 -0.78745
  47  508  672 129.035736433615 41.315927177405 -2.639559 0.44424     44 -0.60695 0.10796 -0.78737
  48  393  539 129.027750322440 41.325163288590 0.358813 0.42447  52793 -0.60777 0.10803 -0.78673
  49  561  459 129.039416989200 41.330718844190 -0.386254 0.21383   3532 -0.60690 0.10796 -0.78741
  50  545  500 129.038305878080 41.327871621945 -0.696868 0.31272    774 -0.60694 0.10796 -0.78738
  51  545  527 129.038305878080 41.325996621930 -0.730554 0.43517    628 -0.60686 0.10795 -0.78744
  52  566  524 129.039764211425 41.326204955265 -0.609467 0.30596     57 -0.60674 0.10794 -0.78754
  53  570  533 129.040041989205 41.325579955260 -0.205420 0.34792     96 -0.60669 0.10793 -0.78758
  54  586  520 129.041153100325 41.326482733045 -1.435519 0.48878    129 -0.60663 0.10793 -0.78762
  55  570  493 129.040041989205 41.328357733060 -1.054644 0.22780    226 -0.60680 0.10795 -0.78749
  56  586  493 129.041153100325 41.328357733060 -1.547530 0.41444    167 -0.60670 0.10794 -0.78757
  57  619  507 129.043444767010 41.327385510830 -1.306854 0.43089    150 -0.60646 0.10791 -0.78776
  58  607  524 129.042611433670 41.326204955265 -0.682231 0.47741     56 -0.60649 0.10791 -0.78774
  59  607  517 129.042611433670 41.326691066380 -0.899896 0.17166     56 -0.60651 0.10792 -0.78772
  60  604  532 129.042403100335 41.325649399705 -1.405427 0.41880     79 -0.60648 0.10791 -0.78774
  61  615  531 129.043166989230 41.325718844150 -0.142755 0.31609     56 -0.60642 0.10791 -0.78779
  62  623  537 129.043722544790 41.325302177480 -0.313635 0.20734     48 -0.60635 0.10790 -0.78784
  63  619  520 129.043444767010 41.326482733045 -0.575875 0.34263    217 -0.60642 0.10791 -0.78779
  64  644  527 129.045180878135 41.325996621930 -0.067869 0.32773    775 -0.60624 0.10789 -0.78793
  65  644  500 129.045180878135 41.327871621945 -0.256949 0.49390    664 -0.60631 0.10790 -0.78788
  66  627  459 129.044000322570 41.330718844190 -0.452432 0.46006   2760 -0.60647 0.10791 -0.78775
  67  545  554 129.038305878080 41.324121621915 -0.490800 0.33055    853 -0.60679 0.10794 -0.78750
  68  537  573 129.037750322520 41.322802177460 -1.049632 0.44351    191 -0.60682 0.10794 -0.78748
  69  553  588 129.038861433640 41.321760510785 -0.556167 0.33564    159 -0.60671 0.10793 -0.78756
  70  553  574 129.038861433640 41.322732733015 -0.955223 0.35928    193 -0.60672 0.10793 -0.78755
  71  578  581 129.040597544765 41.322246621900 -0.382749 0.48145    716 -0.60657 0.10792 -0.78767
  72  578  554 129.040597544765 41.324121621915 -0.493151 0.49862    761 -0.60659 0.10792 -0.78766
  73  561  621 129.039416989200 41.319468844100 -0.460067 0.39142   3224 -0.60666 0.10793 -0.78760
  74  627  621 129.044000322570 41.319468844100 -0.473055 0.43955   2969 -0.60627 0.10790 -0.78790
  75  627  567 129.044000322570 41.323218844130 -0.389615 0.45326   3374 -0.60628 0.10789 -0.78790
  76  677  554 129.047472544820 41.324121621915 -0.648389 0.37540    850 -0.60598 0.10786 -0.78813
  77  669  574 129.046916989260 41.322732733015 -0.255449 0.48880    212 -0.60602 0.10787 -0.78810
  78  663  583 129.046500322590 41.322107733010 -0.183056 0.26342     20 -0.60605 0.10787 -0.78808
  79  663  587 129.046500322590 41.321829955230 0.503368 0.28415     15 -0.60604 0.10787 -0.78808
  80  667  583 129.046778100370 41.322107733010 -0.183152 0.30111     16 -0.60602 0.10787 -0.78810
  81  673  591 129.047194767040 41.321552177450 -0.034110 0.25617     48 -0.60598 0.10786 -0.78813
  82  685  588 129.048028100380 41.321760510785 -0.211000 0.29031    208 -0.60591 0.10786 -0.78819
  83  685  574 129.048028100380 41.322732733015 -0.408103 0.32175    224 -0.60592 0.10786 -0.78818
  84  698  571 129.048930878165 41.322941066350 -0.531529 0.27090     63 -0.60584 0.10785 -0.78824
  85  703  588 129.049278100390 41.321760510785 -0.378875 0.44296    179 -0.60580 0.10785 -0.78828
  86  712  590 129.049903100395 41.321621621895 2.399755 0.34159     12 -0.60576 0.10784 -0.78830
  87  712  593 129.049903100395 41.321413288560 1.184139 0.24307     11 -0.60576 0.10784 -0.78831
  88  716  593 129.050180878175 41.321413288560 1.725988 0.37657     12 -0.60574 0.10784 -0.78832
  89  716  590 129.050180878175 41.321621621895 2.003856 0.25888     12 -0.60574 0.10784 -0.78832
  90  702  547 129.049208655945 41.324607733030 -0.448941 0.28758    228 -0.60584 0.10785 -0.78824
  91  702  561 129.049208655945 41.323635510800 -0.639914 0.29002    209 -0.60583 0.10785 -0.78825
  92  714  558 129.050041989285 41.323843844135 -0.806912 0.42035     56 -0.60578 0.10785 -0.78829
  93  720  563 129.050458655955 41.323496621910 -0.207239 0.13346     12 -0.60575 0.10784 -0.78831
  94  719  565 129.050389211510 41.323357733020 0.413535 0.39102      4 -0.60575 0.10784 -0.78831
  95  719  567 129.050389211510 41.323218844130 -0.069767 1.02451      2 -0.60575 0.10784 -0.78831
  96  721  567 129.050528100400 41.323218844130 -1.329627 0.64332      2 -0.60574 0.10784 -0.78832
  97  721  565 129.050528100400 41.323357733020 0.552980 0.42668      4 -0.60574 0.10784 -0.78832
  98  724  566 129.050736433735 41.323288288575 -0.032427 0.36084     12 -0.60573 0.10784 -0.78833
  99  724  563 129.050736433735 41.323496621910 1.544897 0.39805     12 -0.60573 0.10784 -0.78833
 100  722  558 129.050597544845 41.323843844135 0.242138 0.44324     55 -0.60575 0.10784 -0.78832
 101  714  544 129.050041989285 41.324816066365 0.313931 0.25372     56 -0.60580 0.10785 -0.78828
 102  714  551 129.050041989285 41.324329955250 -0.510127 0.34813     56 -0.60578 0.10785 -0.78829
 103  677  608 129.047472544820 41.320371621885 0.056980 0.28037    846 -0.60595 0.10786 -0.78816
 104  677  635 129.047472544820 41.318496621870 -0.003791 0.13302    891 -0.60595 0.10787 -0.78815
 105  710  635 129.049764211505 41.318496621870 0.699761 0.28144    755 -0.60575 0.10785 -0.78831
 106  702  601 129.049208655945 41.320857733000 0.104010 0.35660    232 -0.60579 0.10785 -0.78828
 107  702  615 129.049208655945 41.319885510770 0.369035 0.23730    220 -0.60579 0.10785 -0.78828
 108  778  623 129.054486433765 41.319329955210 3.805246 0.42703     16 -0.60546 0.10783 -0.78853
 109  777  626 129.054416989320 41.319121621875 4.090559 0.98188      4 -0.60546 0.10783 -0.78853
 110  777  628 129.054416989320 41.318982732985 4.027339 0.85555      2 -0.60546 0.10783 -0.78854
 111  779  628 129.054555878210 41.318982732985 3.013057 0.65786      2 -0.60545 0.10783 -0.78854
 112  779  626 129.054555878210 41.319121621875 3.360645 0.68132      4 -0.60546 0.10783 -0.78854
