Number xind yind east north data err wgt Elos Nlos Ulos
  98  852  828 129.059347522695 41.304816043985 -1.216155 0.22600     12 0.55382 0.10288 -0.82626
  99  856  828 129.059625300475 41.304816043985 -0.884273 0.18822     12 0.55384 0.10288 -0.82624
 100  856  825 129.059625300475 41.305024377320 -6.681871 0.09868     12 0.55385 0.10288 -0.82624
 101  860  825 129.059903078255 41.305024377320 -5.329861 0.03025     12 0.55387 0.10288 -0.82622
 102  860  828 129.059903078255 41.304816043985 -0.899425 0.13321     12 0.55387 0.10288 -0.82622
 103  864  828 129.060180856035 41.304816043985 -1.221556 0.09071     12 0.55389 0.10288 -0.82621
 104  864  825 129.060180856035 41.305024377320 -3.894283 0.11023     12 0.55390 0.10288 -0.82620
 105  862  820 129.060041967145 41.305371599545 -8.828936 0.32882     56 0.55389 0.10288 -0.82621
 106  854  813 129.059486411585 41.305857710660 -6.928218 0.31150     56 0.55385 0.10288 -0.82624
 107  862  813 129.060041967145 41.305857710660 -8.314022 0.10715     56 0.55390 0.10288 -0.82620
 108  842  836 129.058653078245 41.304260488425 -0.983319 0.40811    127 0.55375 0.10287 -0.82630
 109  858  836 129.059764189365 41.304260488425 -1.414986 0.22078    120 0.55385 0.10288 -0.82624
 110  874  834 129.060875300485 41.304399377315 -3.759128 0.15964     82 0.55395 0.10289 -0.82617
 111  890  849 129.061986411605 41.303357710640 -5.378672 0.18002     62 0.55404 0.10290 -0.82611
 112  888  830 129.061847522715 41.304677155095 -3.724685 0.15192     14 0.55404 0.10290 -0.82610
 113  874  809 129.060875300485 41.306135488440 -8.162349 0.34703    147 0.55398 0.10289 -0.82615
 114  868  818 129.060458633815 41.305510488435 -8.331637 0.13378     16 0.55393 0.10289 -0.82618
 115  868  822 129.060458633815 41.305232710655 -8.582571 0.25791     12 0.55393 0.10289 -0.82618
 116  872  822 129.060736411595 41.305232710655 -7.688470 0.23045     12 0.55395 0.10289 -0.82617
 117  872  818 129.060736411595 41.305510488435 -8.737739 0.09644     16 0.55395 0.10289 -0.82616
 118  868  825 129.060458633815 41.305024377320 -2.570090 0.21440     12 0.55392 0.10289 -0.82619
 119  868  828 129.060458633815 41.304816043985 -1.481555 0.04246     12 0.55392 0.10289 -0.82619
 120  872  828 129.060736411595 41.304816043985 -1.649400 0.02833     12 0.55395 0.10289 -0.82617
 121  872  825 129.060736411595 41.305024377320 -1.143162 0.29378     12 0.55395 0.10289 -0.82617
 122  876  825 129.061014189375 41.305024377320 0.525545 0.30895     12 0.55397 0.10289 -0.82615
 123  876  828 129.061014189375 41.304816043985 -1.385300 0.07496     12 0.55397 0.10289 -0.82615
 124  880  828 129.061291967155 41.304816043985 -1.168094 0.08532     12 0.55400 0.10290 -0.82614
 125  880  825 129.061291967155 41.305024377320 2.164304 0.30959     12 0.55400 0.10290 -0.82613
 126  876  818 129.061014189375 41.305510488435 -9.159954 0.09208     16 0.55398 0.10289 -0.82615
 127  876  822 129.061014189375 41.305232710655 -5.910984 0.13893     12 0.55398 0.10289 -0.82615
 128  880  822 129.061291967155 41.305232710655 -3.415620 0.10402     12 0.55400 0.10290 -0.82613
 129  880  818 129.061291967155 41.305510488435 -8.571577 0.17010     16 0.55401 0.10290 -0.82613
 130  891  809 129.062055856050 41.306135488440 -9.853659 0.49384     56 0.55408 0.10291 -0.82608
 131  838  753 129.058375300465 41.310024377360 -11.732906 0.13696     56 0.55379 0.10287 -0.82628
 132  846  753 129.058930856025 41.310024377360 -12.830563 0.39678     54 0.55385 0.10288 -0.82624
 133  838  773 129.058375300465 41.308635488460 -5.646460 0.32683     48 0.55377 0.10287 -0.82629
 134  846  773 129.058930856025 41.308635488460 -5.799122 0.27658     48 0.55383 0.10288 -0.82625
 135  852  765 129.059347522695 41.309191044020 -6.903118 0.15902     16 0.55388 0.10288 -0.82622
 136  852  769 129.059347522695 41.308913266240 -5.688440 0.02424     12 0.55387 0.10288 -0.82622
 137  856  769 129.059625300475 41.308913266240 -5.643833 0.04287     11 0.55390 0.10288 -0.82620
 138  856  765 129.059625300475 41.309191044020 -7.096212 0.14464     16 0.55391 0.10288 -0.82620
 139  860  765 129.059903078255 41.309191044020 -7.454341 0.08100     16 0.55393 0.10289 -0.82618
 140  860  769 129.059903078255 41.308913266240 -6.662738 0.08459     11 0.55393 0.10289 -0.82618
 141  864  769 129.060180856035 41.308913266240 -8.343954 0.15533     12 0.55396 0.10289 -0.82616
 142  864  765 129.060180856035 41.309191044020 -7.162090 0.18162     16 0.55396 0.10289 -0.82616
 143  854  760 129.059486411585 41.309538266245 -6.445320 0.26086     53 0.55390 0.10288 -0.82620
 144  862  760 129.060041967145 41.309538266245 -6.535079 0.19997     56 0.55395 0.10289 -0.82617
 145  842  783 129.058653078245 41.307941044010 -6.468073 0.32408    195 0.55379 0.10287 -0.82627
 146  858  796 129.059764189365 41.307038266225 -10.809572 0.27820     48 0.55389 0.10288 -0.82621
 147  858  782 129.059764189365 41.308010488455 -6.679198 0.09838     98 0.55390 0.10288 -0.82620
 148  867  777 129.060389189370 41.308357710680 -7.024000 0.00000      1 0.55397 0.10289 -0.82616
